file_id,system_id,file_name,timezone,data_sampling_frequency,issue,subissue
1,11,4_ac_power__315_full_DST.csv,Etc/GMT+7,15,Full DST,
2,11,4_ac_power__315_30min_wrong_timezone.csv,Etc/GMT+7,30,Wrong Timezone,
3,11,4_ac_power__315_60min_wrong_timezone.csv,Etc/GMT+7,60,Wrong Timezone,
4,11,4_ac_power__315_60min.csv,Etc/GMT+7,60,No Issue,
5,11,4_ac_power__315_30min.csv,Etc/GMT+7,30,No Issue,
6,11,4_ac_power__315_15min.csv,Etc/GMT+7,15,No Issue,
7,11,4_ac_power__315_15min_full_DST.csv,Etc/GMT+7,15,Full DST,
8,10,50_ac_power_wrong_timezone.csv,Etc/GMT+7,1,Wrong Timezone,
9,10,50_ac_power_1_random_time_shifts.csv,Etc/GMT+7,1,Random Time Shifts,
10,10,50_ac_power_15min_wrong_timezone.csv,Etc/GMT+7,15,Wrong Timezone,
11,10,50_ac_power_1_15min_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
12,10,50_ac_power_1_30min_wrong_timezone.csv,Etc/GMT+7,30,Wrong Timezone,
13,10,50_ac_power_1_60min_wrong_timezone.csv,Etc/GMT+7,60,Wrong Timezone,
14,10,50_ac_power_2_full_DST.csv,Etc/GMT+7,1,Full DST,
15,10,50_ac_power_30min.csv,Etc/GMT+7,30,No Issue,
16,10,50_ac_power_2_30min_random_time_shifts.csv,Etc/GMT+7,30,Random Time Shifts,
17,10,50_ac_power_2_15min_wrong_timezone.csv,Etc/GMT+7,15,Wrong Timezone,
18,10,50_ac_power_30min_wrong_timezone.csv,Etc/GMT+7,30,Wrong Timezone,
19,10,50_ac_power.csv,Etc/GMT+7,1,No Issue,
20,10,50_ac_power_1.csv,Etc/GMT+7,1,No Issue,
21,10,50_ac_power_15min.csv,Etc/GMT+7,15,No Issue,
22,10,50_ac_power_1_15min.csv,Etc/GMT+7,15,No Issue,
23,10,50_ac_power_1_30min.csv,Etc/GMT+7,30,No Issue,
24,10,50_ac_power_1_60min.csv,Etc/GMT+7,60,No Issue,
25,10,50_ac_power_2.csv,Etc/GMT+7,1,No Issue,
26,10,50_ac_power_2_15min.csv,Etc/GMT+7,15,No Issue,
27,10,50_ac_power_2_30min.csv,Etc/GMT+7,30,No Issue,
28,10,50_ac_power_2_60min.csv,Etc/GMT+7,60,No Issue,
29,10,50_ac_power_2_60min_random_time_shifts.csv,Etc/GMT+7,60,Random Time Shifts,
30,10,50_ac_power_60min_random_time_shifts.csv,Etc/GMT+7,60,Random Time Shifts,
31,10,50_ac_power_60min.csv,Etc/GMT+7,60,No Issue,
32,9,1229_poa_irradiance_west_array_60min.csv,Etc/GMT+5,60,No Issue,
33,9,1229_gh_irradiance_15min.csv,Etc/GMT+5,15,No Issue,
34,9,1229_gh_irradiance_30min.csv,Etc/GMT+5,30,No Issue,
35,9,1229_gh_irradiance_60min.csv,Etc/GMT+5,60,No Issue,
36,9,1229_poa_irradiance_15min.csv,Etc/GMT+5,15,No Issue,
37,9,1229_poa_irradiance_30min.csv,Etc/GMT+5,30,No Issue,
38,9,1229_poa_irradiance_60min.csv,Etc/GMT+5,60,No Issue,
39,9,1229_poa_irradiance_south_array_15min.csv,Etc/GMT+5,15,No Issue,
40,9,1229_poa_irradiance_south_array_30min.csv,Etc/GMT+5,30,No Issue,
41,9,1229_poa_irradiance_south_array_60min.csv,Etc/GMT+5,60,No Issue,
42,9,1229_poa_irradiance_west_array_15min.csv,Etc/GMT+5,15,No Issue,
43,9,1229_poa_irradiance_west_array_30min.csv,Etc/GMT+5,30,No Issue,
44,9,1229_poa_irradiance_west_array_30min_partial_DST.csv,Etc/GMT+5,30,Partial DST,
45,9,1229_poa_irradiance_west_array_15min_wrong_timezone.csv,Etc/GMT+5,15,Wrong Timezone,
46,9,1229_poa_irradiance_south_array_60min_wrong_timezone.csv,Etc/GMT+5,60,Wrong Timezone,
47,9,1229_poa_irradiance_south_array_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
48,9,1229_poa_irradiance_south_array_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
49,9,1229_poa_irradiance_south_array_full_DST.csv,Etc/GMT+5,15,Full DST,
50,9,1229_poa_irradiance_60min_wrong_timezone.csv,Etc/GMT+5,60,Wrong Timezone,
51,9,1229_poa_irradiance_30min_wrong_timezone.csv,Etc/GMT+5,30,Wrong Timezone,
52,9,1229_poa_irradiance_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
53,9,1229_poa_irradiance_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
54,9,1229_gh_irradiance_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
55,9,1229_gh_irradiance_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
56,9,1229_gh_irradiance_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
57,9,1229_poa_irradiance_west_array_full_DST.csv,Etc/GMT+5,15,Full DST,
58,9,1229_poa_irradiance_west_array_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
59,9,1229_gh_irradiance_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
60,8,1332_inv3_ac_power__2650_15min.csv,Etc/GMT+7,15,No Issue,
61,8,1332_inv3_ac_power__2650_15min.csv,Etc/GMT+7,15,No Issue,
62,8,1332_inv_total_ac_power__2654_30min.csv,Etc/GMT+7,30,No Issue,
63,8,1332_inv_total_ac_power__2654_30min.csv,Etc/GMT+7,30,No Issue,
64,8,1332_inv_total_ac_power__2654_15min.csv,Etc/GMT+7,15,No Issue,
65,8,1332_inv_total_ac_power__2654_15min.csv,Etc/GMT+7,15,No Issue,
66,8,1332_inv3_ac_power__2650_60min.csv,Etc/GMT+7,60,No Issue,
67,8,1332_inv3_ac_power__2650_60min.csv,Etc/GMT+7,60,No Issue,
68,8,1332_inv2_ac_power__2646_60min.csv,Etc/GMT+7,60,No Issue,
69,8,1332_inv2_ac_power__2646_60min.csv,Etc/GMT+7,60,No Issue,
70,8,1332_inv3_ac_power__2650_30min.csv,Etc/GMT+7,30,No Issue,
71,8,1332_inv3_ac_power__2650_30min.csv,Etc/GMT+7,30,No Issue,
72,8,1332_inv2_ac_power__2646_partial_DST.csv,Etc/GMT+7,15,Partial DST,
73,8,1332_inv2_ac_power__2646_partial_DST.csv,Etc/GMT+7,15,Partial DST,
74,8,1332_inv2_ac_power__2646_15min_full_DST.csv,Etc/GMT+7,15,Full DST,
75,8,1332_inv2_ac_power__2646_15min_full_DST.csv,Etc/GMT+7,15,Full DST,
76,8,1332_inv2_ac_power__2646_30min_wrong_timezone.csv,Etc/GMT+7,30,Wrong Timezone,
77,8,1332_inv2_ac_power__2646_30min_wrong_timezone.csv,Etc/GMT+7,30,Wrong Timezone,
78,8,1332_inv2_ac_power__2646_60min_wrong_timezone.csv,Etc/GMT+7,60,Wrong Timezone,
79,8,1332_inv2_ac_power__2646_60min_wrong_timezone.csv,Etc/GMT+7,60,Wrong Timezone,
80,8,1332_inv3_ac_power__2650_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
81,8,1332_inv3_ac_power__2650_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
82,8,1332_inv3_ac_power__2650_15min_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
83,8,1332_inv3_ac_power__2650_15min_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
84,8,1332_inv3_ac_power__2650_30min_random_time_shifts.csv,Etc/GMT+7,30,Random Time Shifts,
85,8,1332_inv3_ac_power__2650_30min_random_time_shifts.csv,Etc/GMT+7,30,Random Time Shifts,
86,8,1332_inv3_ac_power__2650_60min_random_time_shifts.csv,Etc/GMT+7,60,Random Time Shifts,
87,8,1332_inv3_ac_power__2650_60min_random_time_shifts.csv,Etc/GMT+7,60,Random Time Shifts,
88,8,1332_inv_total_ac_power__2654_partial_DST.csv,Etc/GMT+7,15,Partial DST,
89,8,1332_inv_total_ac_power__2654_partial_DST.csv,Etc/GMT+7,15,Partial DST,
90,8,1332_inv_total_ac_power__2654_15min_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
91,8,1332_inv_total_ac_power__2654_15min_random_time_shifts.csv,Etc/GMT+7,15,Random Time Shifts,
92,8,1332_inv_total_ac_power__2654_30min_partial_DST.csv,Etc/GMT+7,30,Partial DST,
93,8,1332_inv_total_ac_power__2654_30min_partial_DST.csv,Etc/GMT+7,30,Partial DST,
94,8,1332_inv_total_ac_power__2654_60min_partial_DST.csv,Etc/GMT+7,60,Partial DST,
95,8,1332_inv_total_ac_power__2654_60min_partial_DST.csv,Etc/GMT+7,60,Partial DST,
96,8,1332_inv2_ac_power__2646_15min.csv,Etc/GMT+7,15,No Issue,
97,8,1332_inv2_ac_power__2646_15min.csv,Etc/GMT+7,15,No Issue,
98,8,1332_inv2_ac_power__2646_30min.csv,Etc/GMT+7,30,No Issue,
99,8,1332_inv2_ac_power__2646_30min.csv,Etc/GMT+7,30,No Issue,
100,8,1332_inv_total_ac_power__2654_60min.csv,Etc/GMT+7,60,No Issue,
101,8,1332_inv_total_ac_power__2654_60min.csv,Etc/GMT+7,60,No Issue,
102,1,1422_inv1_ac_power.csv,Etc/GMT+5,1,No Issue,
103,1,1422_inv2_ac_power.csv,Etc/GMT+5,1,No Issue,
104,1,1422_inv1_ac_power_30min.csv,Etc/GMT+5,30,No Issue,
105,1,1422_inv1_ac_power_60min.csv,Etc/GMT+5,60,No Issue,
106,1,1422_inv2_ac_power_15min.csv,Etc/GMT+5,15,No Issue,
107,1,1422_inv2_ac_power_30min.csv,Etc/GMT+5,30,No Issue,
108,1,1422_inv2_ac_power_60min.csv,Etc/GMT+5,60,No Issue,
109,1,1422_inv2_ac_power_30min_full_DST.csv,Etc/GMT+5,30,Full DST,
110,1,1422_inv2_ac_power_15min_wrong_timezone.csv,Etc/GMT+5,15,Wrong Timezone,
111,1,1422_inv2_ac_power_partial_DST.csv,Etc/GMT+5,1,Partial DST,
112,1,1422_inv1_ac_power_15min.csv,Etc/GMT+5,15,No Issue,
113,1,1422_inv2_ac_power_60min_wrong_timezone.csv,Etc/GMT+5,60,Wrong Timezone,
114,1,1422_inv1_ac_power_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
115,1,1422_inv1_ac_power_15min_wrong_timezone.csv,Etc/GMT+5,15,Wrong Timezone,
116,1,1422_inv1_ac_power_random_time_shifts.csv,Etc/GMT+5,1,Random Time Shifts,
117,1,1422_inv1_ac_power_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
118,2,1423_inv1_ac_power_15min.csv,Etc/GMT+8,15,No Issue,
119,2,1423_inv2_ac_power_30min.csv,Etc/GMT+8,30,No Issue,
120,2,1423_inv2_ac_power_15min.csv,Etc/GMT+8,15,No Issue,
121,2,1423_inv2_ac_power.csv,Etc/GMT+8,1,No Issue,
122,2,1423_inv1_ac_power_60min.csv,Etc/GMT+8,60,No Issue,
123,2,1423_inv1_ac_power_30min.csv,Etc/GMT+8,30,No Issue,
124,2,1423_inv1_ac_power.csv,Etc/GMT+8,1,No Issue,
125,2,1423_inv2_ac_power_30min_wrong_timezone.csv,Etc/GMT+8,30,Wrong Timezone,
126,2,1423_inv2_ac_power_15min_wrong_timezone.csv,Etc/GMT+8,15,Wrong Timezone,
127,2,1423_inv2_ac_power_wrong_timezone.csv,Etc/GMT+8,1,Wrong Timezone,
128,2,1423_inv1_ac_power_60min_wrong_timezone.csv,Etc/GMT+8,60,Wrong Timezone,
129,2,1423_inv1_ac_power_30min_random_time_shifts.csv,Etc/GMT+8,30,Random Time Shifts,
130,2,1423_inv1_ac_power_15min_wrong_timezone.csv,Etc/GMT+8,15,Wrong Timezone,
131,2,1423_inv1_ac_power_full_DST.csv,Etc/GMT+8,1,Full DST,
132,2,1423_inv2_ac_power_60min_full_DST.csv,Etc/GMT+8,60,Full DST,
133,2,1423_inv2_ac_power_60min.csv,Etc/GMT+8,60,No Issue,
134,6,4901_InvPAC_kW_Avg_60min.csv,Etc/GMT+5,60,No Issue,
135,6,4901_InvPAC_kW_Avg_60min.csv,Etc/GMT+5,60,No Issue,
136,6,4901_InvPAC_kW_Avg_30min.csv,Etc/GMT+5,30,No Issue,
137,6,4901_InvPAC_kW_Avg_30min.csv,Etc/GMT+5,30,No Issue,
138,6,4901_InvPAC_kW_Avg_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
139,6,4901_InvPAC_kW_Avg_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
140,6,4901_InvPAC_kW_Avg.csv,Etc/GMT+5,1,No Issue,
141,6,4901_InvPAC_kW_Avg.csv,Etc/GMT+5,1,No Issue,
142,6,4901_InvPAC_kW_Avg_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
143,6,4901_InvPAC_kW_Avg_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
144,6,4901_InvPAC_kW_Avg_30min_full_DST.csv,Etc/GMT+5,30,Full DST,
145,6,4901_InvPAC_kW_Avg_30min_full_DST.csv,Etc/GMT+5,30,Full DST,
146,6,4901_InvPAC_kW_Avg_15min.csv,Etc/GMT+5,15,No Issue,
147,6,4901_InvPAC_kW_Avg_15min.csv,Etc/GMT+5,15,No Issue,
148,6,4901_InvPAC_kW_Avg_partial_DST.csv,Etc/GMT+5,1,Partial DST,
149,6,4901_InvPAC_kW_Avg_partial_DST.csv,Etc/GMT+5,1,Partial DST,
150,4,4902_ac_power_inv_14538_15min.csv,Etc/GMT+5,15,No Issue,
151,4,4902_ac_power_inv_14538_random_time_shifts.csv,Etc/GMT+5,1,Random Time Shifts,
152,4,4902_ac_power_inv_14538_15min_wrong_timezone.csv,Etc/GMT+5,15,Wrong Timezone,
153,4,4902_ac_power_inv_14538_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
154,4,4902_ac_power_inv_14538_60min_partial_DST.csv,Etc/GMT+5,60,Partial DST,
155,4,4902_ac_power_inv_14538_30min.csv,Etc/GMT+5,30,No Issue,
156,4,4902_ac_power_inv_14538.csv,Etc/GMT+5,1,No Issue,
157,4,4902_ac_power_inv_14538_60min.csv,Etc/GMT+5,60,No Issue,
158,5,4903_ac_power_inv_14539.csv,Etc/GMT+5,1,No Issue,
159,5,4903_ac_power_other_inv_14539_2_15min_partial_DST.csv,Etc/GMT+5,15,Partial DST,
160,5,4903_ac_power_other_inv_14539_2_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
161,5,4903_ac_power_inv_14539_wrong_timezone.csv,Etc/GMT+5,1,Wrong Timezone,
162,5,4903_ac_power_other_inv_14539_2_30min_wrong_timezone.csv,Etc/GMT+5,30,Wrong Timezone,
163,5,4903_ac_power_inv_14539_30min_random_time_shifts.csv,Etc/GMT+5,30,Random Time Shifts,
164,5,4903_ac_power_inv_14539_60min_random_time_shifts.csv,Etc/GMT+5,60,Random Time Shifts,
165,5,4903_ac_power_other_inv_14539_2_60min.csv,Etc/GMT+5,60,No Issue,
166,5,4903_ac_power_other_inv_14539_2_30min.csv,Etc/GMT+5,30,No Issue,
167,5,4903_ac_power_other_inv_14539_2_15min.csv,Etc/GMT+5,15,No Issue,
168,5,4903_ac_power_other_inv_14539_2.csv,Etc/GMT+5,1,No Issue,
169,5,4903_ac_power_inv_14539_60min.csv,Etc/GMT+5,60,No Issue,
170,5,4903_ac_power_inv_14539_30min.csv,Etc/GMT+5,30,No Issue,
171,5,4903_ac_power_inv_14539_15min.csv,Etc/GMT+5,15,No Issue,
172,5,4903_ac_power_inv_14539_15min_random_time_shifts.csv,Etc/GMT+5,15,Random Time Shifts,
173,5,4903_ac_power_other_inv_14539_2_60min_wrong_timezone.csv,Etc/GMT+5,60,Wrong Timezone,
